"","title","author","subject","abstract","date"
"31","Diversity-Aware $k$-Maximum Inner Product Search Revisited","Qiang Huang, Yanhao Wang, Yiqun Sun, Anthony K. H. Tung","Information Retrieval (cs.IR)","The kMaximum Inner Product Search kMIPS serves as a foundational component in recommender systems and various data mining tasks. However, while most existing kMIPS approaches prioritize the efficient retrieval of highly relevant items for users, they often neglect an equally pivotal facet of search results emphdiversity. To bridge this gap, we revisit and refine the diversityaware kMIPS DkMIPS problem by incorporating two wellknown diversity objectives  minimizing the average and maximum pairwise item similarities within the results  into the original relevance objective. This enhancement, inspired by Maximal Marginal Relevance MMR, offers users a controllable tradeoff between relevance and diversity. We introduce textscGreedy and textscDualGreedy, two linear scanbased algorithms tailored for DkMIPS. They both achieve datadependent approximations and, when aiming to minimize the average pairwise similarity, textscDualGreedy attains an approximation ratio of 14 with an additive term for regularization. To further improve query efficiency, we integrate a lightweight BallCone Tree BCTree index with the two algorithms. Finally, comprehensive experiments on ten realworld data sets demonstrate the efficacy of our proposed methods, showcasing their capability to efficiently deliver diverse and relevant search results to users.","Wed, 21 Feb 2024 15:09:51 UTC (758 KB)"
"32","Multi-Agent Online Graph Exploration on Cycles and Tadpole Graphs","Erik van den Akker, Kevin Buchin, Klaus-Tycho Foerster","Data Structures and Algorithms (cs.DS)","We study the problem of multiagent online graph exploration, in which a team of k agents has to explore a given graph, starting and ending on the same node. The graph is initially unknown. Whenever a node is visited by an agent, its neighborhood and adjacent edges are revealed. The agents share a global view of the explored parts of the graph. The cost of the exploration has to be minimized, where cost either describes the time needed for the entire exploration time model, or the length of the longest path traversed by any agent energy model. We investigate graph exploration on cycles and tadpole graphs for 24 agents, providing optimal results on the competitive ratio in the energy model 1competitive with two agents on cycles and three agents on tadpole graphs, and for tadpole graphs in the time model 1.5competitive with four agents. We also show competitive upper bounds of 2 for the exploration of tadpole graphs with three agents, and 2.5 for the exploration of tadpole graphs with two agents in the time model.","Wed, 21 Feb 2024 14:43:34 UTC (28 KB)"
"33","Equilibria, Efficiency, and Inequality in Network Formation for Hiring and Opportunity","Cynthia Dwork, Chris Hays, Jon Kleinberg, Manish Raghavan","Computer Science and Game Theory (cs.GT)","Professional networks  the social networks among people in a given line of work  can serve as a conduit for job prospects and other opportunities. Here we propose a model for the formation of such networks and the transfer of opportunities within them. In our theoretical model, individuals strategically connect with others to maximize the probability that they receive opportunities from them. We explore how professional networks balance connectivity, where connections facilitate opportunity transfers to those who did not get them from outside sources, and congestion, where some individuals receive too many opportunities from their connections and waste some of them. We show that strategic individuals are overconnected at equilibrium relative to a social optimum, leading to a price of anarchy for which we derive nearly tight asymptotic bounds. We also show that, at equilibrium, individuals form connections to those who provide similar benefit to them as they provide to others. Thus, our model provides a microfoundation in professional networking contexts for the fundamental sociological principle of homophily, that similarity breeds connection, which in our setting is realized as a form of status homophily based on alignment in individual benefit. We further explore how, even if individuals are a priori equally likely to receive opportunities from outside sources, equilibria can be unequal, and we provide nearly tight bounds on how unequal they can be. Finally, we explore the ability for online platforms to intervene to improve social welfare and show that natural heuristics may result in adverse effects at equilibrium. Our simple model allows for a surprisingly rich analysis of coordination problems in professional networks and suggests many directions for further exploration.","Wed, 21 Feb 2024 14:38:37 UTC (6,769 KB)"
"34","Adaptive Massively Parallel Coloring in Sparse Graphs","Rustam Latypov, Yannic Maus, Shreyas Pai, Jara Uitto","Distributed, Parallel, and Cluster Computing (cs.DC)","Classic symmetrybreaking problems on graphs have gained a lot of attention in models of modern parallel computation. The Adaptive Massively Parallel Computation AMPC is a model that captures central challenges in data center computations. Chang et al. PODC2019 gave an extremely fast, constant time, algorithm for the Delta  1coloring problem, where Delta is the maximum degree of an input graph of n nodes. The algorithm works in the most restrictive lowspace setting, where each machine has ndelta local space for a constant 0  delta  1. In this work, we study the vertexcoloring problem in sparse graphs parameterized by their arboricity alpha, a standard measure for sparsity. We give deterministic algorithms that in constant, or almost constant, time give textpolyalpha and Oalphacolorings, where alpha can be arbitrarily smaller than Delta. A strong and standard approach to compute arboricitydependent colorings is through the NashWilliams forest decomposition, which gives rise to an acyclic orientation of the edges such that each node has a small outdegree. Our main technical contribution is giving efficient deterministic algorithms to compute these orientations and showing how to leverage them to find colorings in lowspace AMPC. A key technical challenge is that the color of a node may depend on almost all of the other nodes in the graph and these dependencies cannot be stored on a single machine. Nevertheless, our novel and careful exploration technique yields the orientation, and the arboricitydependent coloring, with a sublinear number of adaptive queries per node.","Wed, 21 Feb 2024 12:33:34 UTC (451 KB)"
"35","ExaLogLog: Space-Efficient and Practical Approximate Distinct Counting up to the Exa-Scale","Otmar Ertl","Data Structures and Algorithms (cs.DS)","This work introduces ExaLogLog, a new data structure for approximate distinct counting, which has the same practical properties as the popular HyperLogLog algorithm. It is commutative, idempotent, mergeable, reducible, has a constanttime insert operation, and supports distinct counts up to the exascale. At the same time, as theoretically derived and experimentally verified, it requires 43 less space to achieve the same estimation error.","Wed, 21 Feb 2024 11:39:33 UTC (7,540 KB)"
"36","Towards Linear Spanners in All Temporal Cliques","Sebastian Angrick, Ben Bals, Tobias Friedrich, Hans Gawendowicz, Niko Hastrich, Nicolas Klodt, Pascal Lenzner, Jonas Schmidt, George Skretas, Armin Wells","Discrete Mathematics (cs.DM)","Many realworld networks, like transportation networks and social networks, are dynamic in the sense that the edge set may change over time, but these changes are known in advance. This behavior is captured by the temporal graphs model, which has recently become a trending topic in theoretical computer science. A core open problem in the field is to prove the existence of linearsize temporal spanners in temporal cliques, i.e., sparse subgraphs of complete temporal graphs that ensure allpairs reachability via temporal paths. So far, the best known result is the existence of temporal spanners with mathcalOnlog n many edges. We present significant progress towards proving that linearsize temporal spanners exist in all temporal cliques. We adapt techniques used in previous works and heavily expand and generalize them to provide a simpler and more intuitive proof of the mathcalOnlog n bound. Moreover, we use our novel approach to show that a large class of temporal cliques, called edgepivot graphs, admit linearsize temporal spanners. To contrast this, we investigate other classes of temporal cliques that do not belong to the class of edgepivot graphs. We introduce two such graph classes and we develop novel techniques for establishing the existence of linear temporal spanners in these graph classes as well.","Wed, 21 Feb 2024 08:53:04 UTC (453 KB)"
"37","A cutting plane algorithm for globally solving low dimensional k-means clustering problems","Martin Ryner, Jan Kronqvist, Johan Karlsson","Optimization and Control (math.OC)","Clustering is one of the most fundamental tools in data science and machine learning, and kmeans clustering is one of the most common such methods. There is a variety of approximate algorithms for the kmeans problem, but computing the globally optimal solution is in general NPhard. In this paper we consider the kmeans problem for instances with low dimensional data and formulate it as a structured concave assignment problem. This allows us to exploit the low dimensional structure and solve the problem to global optimality within reasonable time for large data sets with several clusters. The method builds on iteratively solving a small concave problem and a large linear programming problem. This gives a sequence of feasible solutions along with bounds which we show converges to zero optimality gap. The paper combines methods from global optimization theory to accelerate the procedure, and we provide numerical results on their performance.","Wed, 21 Feb 2024 07:55:33 UTC (63 KB)"
"38","Prediction of the Economic Behavior of Fishery Biotechnology Companies Based on Machine Learning-Based Deep Metacellular Automata","Liguo Chen, Hongyang Hua, Xinyue Luo, Guoli Xu, Xu Yan","Applications (stat.AP)","Ocean warming significantly affects the fishing industry, with species like Scottish herring and mackerel migrating northwards. Our research, a fusion of artificial intelligence, data science, and operations research, addresses this crisis. Using Long Short Term Memory networks, we forecast sea surface temperatures SST and model fish migratory patterns with Enhanced Cellular Automata. A corrective factor within our model adjusts for human impact on SST, guiding diverse mitigation scenarios. We apply operational research to strategize responses, including the modernization of fishing vessels as a less costly alternative to relocation. Our datadriven approach, suggesting fleet modernization, strategic relocation, and product diversification, offers an effective approach to mitigating the threats to the ocean warming phenomenon.","Wed, 21 Feb 2024 03:43:49 UTC (679 KB)[v2] Sat, 24 Feb 2024 07:12:00 UTC (735 KB)"
"39","Sketching AI Concepts with Capabilities and Examples: AI Innovation in the Intensive Care Unit","Nur Yildirim, Susanna Zlotnikov, Deniz Sayar, Jeremy M. Kahn, Leigh A. Bukowski, Sher Shah Amin, Kathryn A. Riman, Billie S. Davis, John S. Minturn, Andrew J. King, Dan Ricketts, Lu Tang, Venkatesh Sivaraman, Adam Perer, Sarah M. Preum, James McCann, John Zimmerman","Human-Computer Interaction (cs.HC)","Advances in artificial intelligence AI have enabled unprecedented capabilities, yet innovation teams struggle when envisioning AI concepts. Data science teams think of innovations users do not want, while domain experts think of innovations that cannot be built. A lack of effective ideation seems to be a breakdown point. How might multidisciplinary teams identify buildable and desirable use cases? This paper presents a first hand account of ideating AI concepts to improve critical care medicine. As a team of data scientists, clinicians, and HCI researchers, we conducted a series of design workshops to explore more effective approaches to AI concept ideation and problem formulation. We detail our process, the challenges we encountered, and practices and artifacts that proved effective. We discuss the research implications for improved collaboration and stakeholder engagement, and discuss the role HCI might play in reducing the high failure rate experienced in AI innovation.","Wed, 21 Feb 2024 00:11:13 UTC (8,166 KB)"
"40","Structured Tree Alignment for Evaluation of (Speech) Constituency Parsing","Freda Shi, Kevin Gimpel, Karen Livescu","Computation and Language (cs.CL)","We present the structured average intersectionoverunion ratio STRUCTIOU, a similarity metric between constituency parse trees motivated by the problem of evaluating speech parsers. STRUCTIOU enables comparison between a constituency parse tree over automatically recognized spoken word boundaries with the groundtruth parse over written words. To compute the metric, we project the groundtruth parse tree to the speech domain by forced alignment, align the projected groundtruth constituents with the predicted ones under certain structured constraints, and calculate the average IOU score across all aligned constituent pairs. STRUCTIOU takes word boundaries into account and overcomes the challenge that the predicted words and ground truth may not have perfect onetoone correspondence. Extending to the evaluation of text constituency parsing, we demonstrate that STRUCTIOU shows higher tolerance to syntactically plausible parses than PARSEVAL Black et al., 1991.","Wed, 21 Feb 2024 00:01:17 UTC (6,835 KB)"
"41","Minimizing Tardy Processing Time on a Single Machine in Near-Linear Time","Nick Fischer, Leo Wennmann","Data Structures and Algorithms (cs.DS)","In this work we revisit the elementary scheduling problem 1sum pj Uj. The goal is to select, among n jobs with processing times and due dates, a subset of jobs with maximum total processing time that can be scheduled in sequence without violating their due dates. This problem is NPhard, but a classical algorithm by Lawler and Moore from the 60s solves this problem in pseudopolynomial time OnP, where P is the total processing time of all jobs. With the aim to develop bestpossible pseudopolynomialtime algorithms, a recent wave of results has improved Lawler and Moores algorithm for 1sum pj Uj First to time tilde OP74 Bringmann, Fischer, Hermelin, Shabtay, Wellnitz ICALP20, then to time tilde OP53 Klein, Polak, Rohwedder SODA23, and finally to time tilde OP75 Schieber, Sitaraman WADS23. It remained an exciting open question whether these works can be improved further. In this work we develop an algorithm in nearlinear time tilde OP for the 1sum pj Uj problem. This running time not only significantly improves upon the previous results, but also matches conditional lower bounds based on the Strong Exponential Time Hypothesis or the Set Cover Hypothesis and is therefore likely optimal up to subpolynomial factors. Our new algorithm also extends to the case of m machines in time tilde OPm. In contrast to the previous improvements, we take a different, more direct approach inspired by the recent reductions from Modular Subset Sum to dynamic string problems. We thereby arrive at a satisfyingly simple algorithm.","Tue, 20 Feb 2024 20:19:33 UTC (226 KB)"
"42","Online Matching on $3$-Uniform Hypergraphs","Sander Borst, Danish Kashaev, Zhuan Khye Koh","Data Structures and Algorithms (cs.DS)","The online matching problem was introduced by Karp, Vazirani and Vazirani STOC 1990 on bipartite graphs with vertex arrivals. It is wellknown that the optimal competitive ratio is 11e for both integral and fractional versions of the problem. Since then, there has been considerable effort to find optimal competitive ratios for other related settings. In this work, we go beyond the graph case and study the online matching problem on kuniform hypergraphs. For k3, we provide an optimal primaldual fractional algorithm, which achieves a competitive ratio of e1e1approx 0.4621. As our main technical contribution, we present a carefully constructed adversarial instance, which shows that this ratio is in fact optimal. It combines ideas from known hard instances for bipartite graphs under the edgearrival and vertexarrival models. For kgeq 3, we give a simple integral algorithm which performs better than greedy when the online nodes have bounded degree. As a corollary, it achieves the optimal competitive ratio of 12 on 3uniform hypergraphs when every online node has degree at most 2. This is because the special case where every online node has degree 1 is equivalent to the edgearrival model on graphs, for which an upper bound of 12 is known.","Tue, 20 Feb 2024 18:41:11 UTC (214 KB)"
"43","Testing Calibration in Subquadratic Time","Lunjia Hu, Kevin Tian, Chutong Yang","Machine Learning (cs.LG)","In the recent literature on machine learning and decision making, calibration has emerged as a desirable and widelystudied statistical property of the outputs of binary prediction models. However, the algorithmic aspects of measuring model calibration have remained relatively less wellexplored. Motivated by BGHN23, which proposed a rigorous framework for measuring distances to calibration, we initiate the algorithmic study of calibration through the lens of property testing. We define the problem of calibration testing from samples where given n draws from a distribution mathcalD on predictions, binary outcomes, our goal is to distinguish between the case where mathcalD is perfectly calibrated, and the case where mathcalD is varepsilonfar from calibration. We design an algorithm based on approximate linear programming, which solves calibration testing informationtheoretically optimally up to constant factors in time On1.5 logn. This improves upon stateoftheart blackbox linear program solvers requiring Omeganomega time, where omega  2 is the exponent of matrix multiplication. We also develop algorithms for tolerant variants of our testing problem, and give sample complexity lower bounds for alternative calibration distances to the one considered in this work. Finally, we present preliminary experiments showing that the testing problem we define faithfully captures standard notions of calibration, and that our algorithms scale to accommodate moderate sample sizes.","Tue, 20 Feb 2024 17:53:24 UTC (89 KB)"
"44","Improved Space Bounds for Subset Sum","Tatiana Belova, Nikolai Chukhin, Alexander S. Kulikov, Ivan Mihajlin","Computational Complexity (cs.CC)","More than 40 years ago, Schroeppel and Shamir presented an algorithm that solves the Subset Sum problem for n integers in time O20.5n and space O20.25n. The time upper bound remains unbeaten, but the space upper bound has been improved to O20.249999n in a recent breakthrough paper by Nederlof and Wgrzycki STOC 2021. Their algorithm is a clever combination of a number of previously known techniques with a new reduction and a new algorithm for the Orthogonal Vectors problem. In this paper, we give two new algorithms for Subset Sum. We start by presenting an ArthurMerlin algorithm upon receiving the verifiers randomness, the prover sends an n4bit long proof to the verifier who checks it in deterministic time and space O2n4. The simplicity of this algorithm has a number of interesting consequences it can be parallelized easily also, by enumerating all possible proofs, one recovers upper bounds on time and space for Subset Sum proved by Schroeppel and Shamir in 1979. As it is the case with the previously known algorithms for Subset Sum, our algorithm follows from an algorithm for 4SUM we prove that, using verifiers coin tosses, the prover can prepare a log2 nbit long proof verifiable in time tildeOn. Another interesting consequence of this result is the following finegrained lower bound assuming that 4SUM cannot be solved in time On2varepsilon for all varepsilon0, Circuit SAT cannot be solved in time Og21varepsilonn, for all varepsilon0. Then, we improve the space bound by Nederlof and Wgrzycki to O20.246n and also simplify their algorithm and its analysis. We achieve this space bound by further filtering sets of subsets using a random prime number. This allows us to reduce an instance of Subset Sum to a larger number of instances of smaller size.","Tue, 20 Feb 2024 17:30:45 UTC (27 KB)"
"45","Clustered Planarity Variants for Level Graphs","Simon D. Fink, Matthias Pfretzschner, Ignaz Rutter, Marie Diana Sieper","Computational Geometry (cs.CG)","We consider variants of the clustered planarity problem for levelplanar drawings. So far, only convex clusters have been studied in this setting. We introduce two new variants that both insist on a levelplanar drawing of the input graph but relax the requirements on the shape of the clusters. In unrestricted Clustered Level Planarity uCLP we only require that they are bounded by simple closed curves that enclose exactly the vertices of the cluster and cross each edge of the graph at most once. The problem ymonotone Clustered Level Planarity yCLP requires that additionally it must be possible to augment each cluster with edges that do not cross the cluster boundaries so that it becomes connected while the graph remains levelplanar, thereby mimicking a classic characterization of clustered planarity in the levelplanar setting. We give a polynomialtime algorithm for uCLP if the input graph is biconnected and has a single source. By contrast, we show that yCLP is hard under the same restrictions and it remains NPhard even if the number of levels is bounded by a constant and there is only a single nontrivial cluster.","Tue, 20 Feb 2024 17:10:42 UTC (429 KB)"
"46","Almost-Tight Bounds on Preserving Cuts in Classes of Submodular Hypergraphs","Sanjeev Khanna, Aaron L. Putterman, Madhu Sudan","Data Structures and Algorithms (cs.DS)","Recently, a number of variants of the notion of cutpreserving hypergraph sparsification have been studied in the literature. These variants include directed hypergraph sparsification, submodular hypergraph sparsification, general notions of approximation including spectral approximations, and more general notions like sketching that can answer cut queries using more general data structures than just sparsifiers. In this work, we provide reductions between these different variants of hypergraph sparsification and establish new upper and lower bounds on the space complexity of preserving their cuts. At a high level, our results use the same general principle, namely, by showing that cuts in one class of hypergraphs can be simulated by cuts in a simpler class of hypergraphs, we can leverage sparsification results for the simpler class of hypergraphs.","Tue, 20 Feb 2024 17:06:47 UTC (29 KB)"
"47","Deterministic Dynamic Edge-Colouring","Aleksander B. G. Christiansen","Data Structures and Algorithms (cs.DS)","Given a dynamic graph G with n vertices and m edges subject to insertion an deletions of edges, we show how to maintain a 1varepsilonDeltaedgecolouring of G without the use of randomisation. More specifically, we show a deterministic dynamic algorithm with an amortised update time of 2tildeOlog varepsilon1sqrtlog n using 1varepsilonDelta colours. If varepsilon1 in 2Olog0.49 n, then our update time is subpolynomial in n. While there exists randomised algorithms maintaining colourings with the same number of colours Christiansen STOC23, Duan, He, Zhang SODA19, Bhattacarya, Costa, Panski, Solomon SODA24 in polylogarithmic and even constant update time, this is the first deterministic algorithm to go below the greedy threshold of 2Delta1 colours for all input graphs. On the way to our main result, we show how to dynamically maintain a shallow hierarchy of degreesplitters with both recourse and update time in no1. We believe that this algorithm might be of independent interest.","Tue, 20 Feb 2024 16:54:43 UTC (642 KB)"
"48","Scalable Pattern Matching in Computation Graphs","Luca Mondada, Pablo Andrés-Martínez","Data Structures and Algorithms (cs.DS)","Graph rewriting is a popular tool for the optimisation and modification of graph expressions in domains such as compilers, machine learning and quantum computing. The underlying data structures are often port graphs  graphs with labels at edge endpoints. These port labels greatly simplify pattern matching. A prerequisite for graph rewriting is the ability to find subgraphs of the input that match known graph identities the pattern matching problem. We propose a new solution to pattern matching in port graphs. Its novelty lies in the use of a precomputed data structure that makes the pattern matching runtime complexity independent of the number of patterns. The runtime is bound by the maximum width w and depth d of the patterns, as well as the input graph size G as OG cdot cw  w12 cdot d with c  6.75. This offers a significant advantage over existing solutions for use cases where patterns have low width and the set of patterns is large and fixed ahead of time. In the context of quantum circuits, pattern width can be limited to qubit number. Quantum superoptimisers may use thousands of rewrite rules on circuits with less than 5 qubits, making them an ideal use case. We provide benchmarks showing that our algorithm offers a 20x speedup over current implementations on a dataset of 10000 real world patterns describing quantum circuits.","Tue, 20 Feb 2024 15:02:24 UTC (113 KB)"
"49","Efficient Enumeration of Large Maximal k-Plexes","Qihao Cheng, Da Yan, Tianhao Wu, Lyuheng Yuan, Ji Cheng, Zhongyi Huang, Yang Zhou","Data Structures and Algorithms (cs.DS)","Finding cohesive subgraphs in a large graph has many important applications, such as community detection and biological network analysis. Clique is often a too strict cohesive structure since communities or biological modules rarely form as cliques for various reasons such as data noise. Therefore, kplex is introduced as a popular clique relaxation, which is a graph where every vertex is adjacent to all but at most k vertices. In this paper, we propose an efficient branchandbound algorithm as well as its taskbased parallel version to enumerate all maximal kplexes with at least q vertices. Our algorithm adopts an effective search space partitioning approach that provides a good time complexity, a new pivot vertex selection method that reduces candidate vertex size, an effective upperbounding technique to prune useless branches, and three novel pruning techniques by vertex pairs. Our parallel algorithm uses a timeout mechanism to eliminate straggler tasks, and maximizes cache locality while ensuring load balancing. Extensive experiments show that compared with the stateoftheart algorithms, our sequential and parallel algorithms enumerate large maximal kplexes with up to 5 times and 18.9 times speedup, respectively. Ablation results also demonstrate that our pruning techniques bring up to 7 times speedup compared with our basic algorithm.","Tue, 20 Feb 2024 13:43:16 UTC (680 KB)"
"50","Locally Rainbow Paths","Till Fluschnik, Leon Kellerhals, Malte Renken","Data Structures and Algorithms (cs.DS)","We introduce the algorithmic problem of finding a locally rainbow path of length ell connecting two distinguished vertices s and t in a vertexcolored directed graph. Herein, a path is locally rainbow if between any two visits of equally colored vertices, the path traverses consecutively at least r differently colored vertices. This problem generalizes the wellknown problem of finding a rainbow path. It finds natural applications whenever there are different types of resources that must be protected from overuse, such as crop sequence optimization or production process scheduling. We show that the problem is computationally intractable even if r2 or if one looks for a locally rainbow among the shortest paths. On the positive side, if one looks for a path that takes only a short detour i.e., it is slightly longer than the shortest path and if r is small, the problem can be solved efficiently. Indeed, the running time of the respective algorithm is nearoptimal unless the ETH fails.","Tue, 20 Feb 2024 10:50:01 UTC (45 KB)"
"51","Differentiable Mapper For Topological Optimization Of Data Representation","Ziyad Oulhaj, Mathieu Carrière, Bertrand Michel","Machine Learning (cs.LG)","Unsupervised data representation and visualization using tools from topology is an active and growing field of Topological Data Analysis TDA and data science. Its most prominent line of work is based on the socalled Mapper graph, which is a combinatorial graph whose topological structures connected components, branches, loops are in correspondence with those of the data itself. While highly generic and applicable, its use has been hampered so far by the manual tuning of its many parametersamong these, a crucial one is the socalled filter it is a continuous function whose variations on the data set are the main ingredient for both building the Mapper representation and assessing the presence and sizes of its topological structures. However, while a few parameter tuning methods have already been investigated for the other Mapper parameters i.e., resolution, gain, clustering, there is currently no method for tuning the filter itself. In this work, we build on a recently proposed optimization framework incorporating topology to provide the first filter optimization scheme for Mapper graphs. In order to achieve this, we propose a relaxed and more general version of the Mapper graph, whose convergence properties are investigated. Finally, we demonstrate the usefulness of our approach by optimizing Mapper graph representations on several datasets, and showcasing the superiority of the optimized representation over arbitrary ones.","Tue, 20 Feb 2024 09:33:22 UTC (2,650 KB)"
"52","Nearly Optimal Fault Tolerant Distance Oracle","Dipan Dey, Manoj Gupta","Data Structures and Algorithms (cs.DS)","We present an ffault tolerant distance oracle for an undirected weighted graph where each edge has an integral weight from 1 dots W. Given a set F of f edges, as well as a source node s and a destination node t, our oracle returns the emphshortest path from s to t avoiding F in Ocf log nWOf2 time, where c  1 is a constant. The space complexity of our oracle is Of4n2log2 nW. For a constant f, our oracle is nearly optimal both in terms of space and time barring some logarithmic factor.","Tue, 20 Feb 2024 08:58:37 UTC (85 KB)[v2] Wed, 21 Feb 2024 10:24:10 UTC (96 KB)"
"53","Near-Optimal Quantum Algorithm for Minimizing the Maximal Loss","Hao Wang, Chenyi Zhang, Tongyang Li","Quantum Physics (quant-ph)","The problem of minimizing the maximum of N convex, Lipschitz functions plays significant roles in optimization and machine learning. It has a series of results, with the most recent one requiring ONepsilon23  epsilon83 queries to a firstorder oracle to compute an epsilonsuboptimal point. On the other hand, quantum algorithms for optimization are rapidly advancing with speedups shown on many important optimization problems. In this paper, we conduct a systematic study for quantum algorithms and lower bounds for minimizing the maximum of N convex, Lipschitz functions. On one hand, we develop quantum algorithms with an improved complexity bound of tildeOsqrtNepsilon53  epsilon83. On the other hand, we prove that quantum algorithms must take tildeOmegasqrtNepsilon23 queries to a first order quantum oracle, showing that our dependence on N is optimal up to polylogarithmic factors.","Tue, 20 Feb 2024 06:23:36 UTC (62 KB)"
"54","A Lower Bound on the Competitive Ratio of the Permutation Algorithm for Online Facility Assignment on a Line","Tsubasa Harada","Data Structures and Algorithms (cs.DS)","In the online facility assignment on a line OFAL with a set S of k servers and a capacity cStomathbbN, each server sin S with a capacity cs is placed on a line and a request arrives on a line onebyone. The task of an online algorithm is to irrevocably assign a current request to one of the servers with vacancies before the next request arrives. An algorithm can assign up to cs requests to each server sin S. In this paper, we show that the competitive ratio of the permutation algorithm is at least k1 for OFAL where the servers are evenly placed on a line. This disproves the result that the permutation algorithm is kcompetitive by Ahmed et al..","Tue, 20 Feb 2024 05:59:10 UTC (8 KB)[v2] Fri, 23 Feb 2024 01:44:37 UTC (8 KB)"
"55","Controlled Variable Selection from Summary Statistics Only? A Solution via GhostKnockoffs and Penalized Regression","Zhaomeng Chen, Zihuai He, Benjamin B. Chu, Jiaqi Gu, Tim Morrison, Chiara Sabatti, Emmanuel Candès","Methodology (stat.ME)","Identifying which variables do influence a response while controlling false positives pervades statistics and data science. In this paper, we consider a scenario in which we only have access to summary statistics, such as the values of marginal empirical correlations between each dependent variable of potential interest and the response. This situation may arise due to privacy concerns, e.g., to avoid the release of sensitive genetic information. We extend GhostKnockoffs He et al. 2022 and introduce variable selection methods based on penalized regression achieving false discovery rate FDR control. We report empirical results in extensive simulation studies, demonstrating enhanced performance over previous work. We also apply our methods to genomewide association studies of Alzheimers disease, and evidence a significant improvement in power.","Tue, 20 Feb 2024 05:16:24 UTC (6,378 KB)"
"56","Distance Recoloring","Niranka Banerjee, Christian Engels, Duc A. Hoang","Data Structures and Algorithms (cs.DS)","Coloring a graph is a well known problem and used in many different contexts. Here we want to assign k geq 1 colors to each vertex of a graph G such that each edge has two different colors at each endpoint. Such a vertexcoloring, if exists, is called a feasible coloring of G. textscDistance Coloring is an extension to the standard textscColoring problem. Here we want to enforce that every pair of distinct vertices of distance less than or equal to d have different colors, for integers d geq 1 and k geq d1. Reconfiguration problems ask if two given configurations can be transformed into each other with certain rules. For example, the wellknown textscColoring Reconfiguration asks if there is a way to change one vertexs color at a time, starting from a feasible given coloring alpha of a graph G to reach another feasible given coloring beta of G, such that all intermediate colorings are also feasible. In this paper, we study the reconfiguration of distance colorings on certain graph classes. We show that even for planar, bipartite, and 2degenerate graphs, reconfiguring distance colorings is mathsfPSPACEcomplete for d geq 2 and k  Omegad2 via a reduction from the wellknown textscSliding Tokens problem. Additionally, we show that the problem on split graphs remains mathsfPSPACEcomplete when d  2 and large k but can be solved in polynomial time when d geq 3 and k geq d1, and design a quadratictime algorithm to solve the problem on paths for any d geq 2 and k geq d1.","Tue, 20 Feb 2024 04:09:00 UTC (40 KB)"
"57","Optimal PSPACE-hardness of Approximating Set Cover Reconfiguration","Shuichi Hirahara, Naoto Ohsaka","Computational Complexity (cs.CC)","In the Minmax Set Cover Reconfiguration problem, given a set system mathcalF over a universe and its two covers mathcalCmathsfstart and mathcalCmathsfgoal of size k, we wish to transform mathcalCmathsfstart into mathcalCmathsfgoal by repeatedly adding or removing a single set of mathcalF while covering the universe in any intermediate state. Then, the objective is to minimize the maximize size of any intermediate cover during transformation. We prove that Minmax Set Cover Reconfiguration and Minmax Dominating Set Reconfiguration are mathsfPSPACEhard to approximate within a factor of 2frac1operatornamepolyloglog N, where N is the size of the universe and the number of vertices in a graph, respectively, improving upon Ohsaka SODA 2024 and Karthik C. S. and Manurangsi 2023. This is the first result that exhibits a sharp threshold for the approximation factor of any reconfiguration problem because both problems admit a 2factor approximation algorithm as per Ito, Demaine, Harvey, Papadimitriou, Sideri, Uehara, and Uno Theor. Comput. Sci., 2011. Our proof is based on a reconfiguration analogue of the FGLSS reduction from Probabilistically Checkable Reconfiguration Proofs of Hirahara and Ohsaka 2024. We also prove that for any constant varepsilon in 0,1, Minmax Hypergraph Vertex Cover Reconfiguration on operatornamepolyvarepsilon1uniform hypergraphs is mathsfPSPACEhard to approximate within a factor of 2varepsilon.","Tue, 20 Feb 2024 01:46:30 UTC (29 KB)"
"58","Guarantees on Warm-Started QAOA: Single-Round Approximation Ratios for 3-Regular MAXCUT and Higher-Round Scaling Limits","Reuben Tate, Stephan Eidenbenz","Quantum Physics (quant-ph)","We generalize Farhi et al.s 0.6924approximation result technique of the MaxCut Quantum Approximate Optimization Algorithm QAOA on 3regular graphs to obtain provable lower bounds on the approximation ratio for warmstarted QAOA. Given an initialization angle theta, we consider warmstarts where the initial state is a product state where each qubit position is angle theta away from either the north or south pole of the Bloch sphere of the two possible qubit positions the position of each qubit is decided by some classically obtained cut encoded as a bitstring b. We illustrate through plots how the properties of b and the initialization angle theta influence the bound on the approximation ratios of warmstarted QAOA. We consider various classical algorithms and the cuts they produce which we use to generate the warmstart. Our results strongly suggest that there does not exist any choice of initialization angle that yields a worstcase approximation ratio that simultaneously beats standard QAOA and the classical algorithm used to create the warmstart. Additionally, we show that at theta60circ, warmstarted QAOA is able to effectively recover the cut used to generate the warmstart, thus suggesting that in practice, this value could be a promising starting angle to explore alternate solutions in a heuristic fashion. Finally, for any combinatorial optimization problem with integervalued objective values, we provide bounds on the required circuit depth needed for warmstarted QAOA to achieve some change in approximation ratio more specifically, we show that for small theta, the bound is roughly proportional to 1theta.","Tue, 20 Feb 2024 01:22:07 UTC (2,270 KB)"
